id,currency,rate,timestamp
1,USD,1.0,2026-03-03T20:33:46.936404
2,AED,3.6725,2026-03-03T20:33:46.937687
3,AFN,62.72336,2026-03-03T20:33:46.937720
4,ALL,82.521752,2026-03-03T20:33:46.937731
5,AMD,376.94236,2026-03-03T20:33:46.937740
6,ANG,1.79,2026-03-03T20:33:46.937747
7,AOA,921.717947,2026-03-03T20:33:46.937754
8,ARS,1452.25,2026-03-03T20:33:46.937761
9,AUD,1.421306,2026-03-03T20:33:46.937768
10,AWG,1.79,2026-03-03T20:33:46.937776
11,AZN,1.697532,2026-03-03T20:33:46.937783
12,BAM,1.683832,2026-03-03T20:33:46.937790
13,BBD,2.0,2026-03-03T20:33:46.937797
14,BDT,122.299479,2026-03-03T20:33:46.937805
15,BGN,1.667322,2026-03-03T20:33:46.937813
16,BHD,0.376,2026-03-03T20:33:46.937820
17,BIF,2973.200244,2026-03-03T20:33:46.937827
18,BMD,1.0,2026-03-03T20:33:46.937834
19,BND,1.277495,2026-03-03T20:33:46.937841
20,BOB,6.9288,2026-03-03T20:33:46.937848
21,BRL,5.252706,2026-03-03T20:33:46.937855
22,BSD,1.0,2026-03-03T20:33:46.937863
23,BTN,92.10895,2026-03-03T20:33:46.937870
24,BWP,13.655326,2026-03-03T20:33:46.937877
25,BYN,2.894481,2026-03-03T20:33:46.937884
26,BZD,2.0,2026-03-03T20:33:46.937891
27,CAD,1.368024,2026-03-03T20:33:46.937898
28,CDF,2219.736729,2026-03-03T20:33:46.937905
29,CHF,0.783035,2026-03-03T20:33:46.937912
30,CLF,0.022296,2026-03-03T20:33:46.937919
31,CLP,881.297449,2026-03-03T20:33:46.937927
32,CNH,6.912916,2026-03-03T20:33:46.937934
33,CNY,6.915072,2026-03-03T20:33:46.937940
34,COP,3762.973804,2026-03-03T20:33:46.937947
35,CRC,470.276781,2026-03-03T20:33:46.937954
36,CUP,24.0,2026-03-03T20:33:46.937961
37,CVE,94.930411,2026-03-03T20:33:46.937968
38,CZK,20.962518,2026-03-03T20:33:46.937975
39,DJF,177.721,2026-03-03T20:33:46.937982
40,DKK,6.426558,2026-03-03T20:33:46.937989
41,DOP,59.961347,2026-03-03T20:33:46.937996
42,DZD,130.462075,2026-03-03T20:33:46.938003
43,EGP,49.85749,2026-03-03T20:33:46.938010
44,ERN,15.0,2026-03-03T20:33:46.938017
45,ETB,155.826993,2026-03-03T20:33:46.938032
46,EUR,0.860948,2026-03-03T20:33:46.938040
47,FJD,2.200577,2026-03-03T20:33:46.938047
48,FKP,0.749706,2026-03-03T20:33:46.938054
49,FOK,6.426392,2026-03-03T20:33:46.938061
50,GBP,0.749722,2026-03-03T20:33:46.938068
51,GEL,2.700684,2026-03-03T20:33:46.938075
52,GGP,0.749706,2026-03-03T20:33:46.938081
53,GHS,10.778945,2026-03-03T20:33:46.938088
54,GIP,0.749706,2026-03-03T20:33:46.938095
55,GMD,74.18558,2026-03-03T20:33:46.938102
56,GNF,8759.397426,2026-03-03T20:33:46.938109
57,GTQ,7.661381,2026-03-03T20:33:46.938116
58,GYD,209.163414,2026-03-03T20:33:46.938123
59,HKD,7.804472,2026-03-03T20:33:46.938130
60,HNL,26.445776,2026-03-03T20:33:46.938137
61,HRK,6.486675,2026-03-03T20:33:46.938144
62,HTG,131.127651,2026-03-03T20:33:46.938151
63,HUF,332.823352,2026-03-03T20:33:46.938158
64,IDR,16885.701589,2026-03-03T20:33:46.938165
65,ILS,3.098143,2026-03-03T20:33:46.938172
66,IMP,0.749706,2026-03-03T20:33:46.938179
67,INR,92.108456,2026-03-03T20:33:46.938186
68,IQD,1307.749526,2026-03-03T20:33:46.938193
69,IRR,1314148.904942,2026-03-03T20:33:46.938199
70,ISK,123.990338,2026-03-03T20:33:46.938206
71,JEP,0.749706,2026-03-03T20:33:46.938213
72,JMD,156.422763,2026-03-03T20:33:46.938220
73,JOD,0.709,2026-03-03T20:33:46.938227
74,JPY,157.706313,2026-03-03T20:33:46.938234
75,KES,129.107232,2026-03-03T20:33:46.938241
76,KGS,87.440877,2026-03-03T20:33:46.938248
77,KHR,4026.142089,2026-03-03T20:33:46.938255
78,KID,1.421315,2026-03-03T20:33:46.938262
79,KMF,423.549635,2026-03-03T20:33:46.938269
80,KRW,1477.311478,2026-03-03T20:33:46.938276
81,KWD,0.307019,2026-03-03T20:33:46.938283
82,KYD,0.833333,2026-03-03T20:33:46.938290
83,KZT,499.667979,2026-03-03T20:33:46.938297
84,LAK,21580.768049,2026-03-03T20:33:46.938304
85,LBP,89500.0,2026-03-03T20:33:46.938311
86,LKR,309.264124,2026-03-03T20:33:46.938318
87,LRD,183.069241,2026-03-03T20:33:46.938325
88,LSL,16.482979,2026-03-03T20:33:46.938332
89,LYD,6.341981,2026-03-03T20:33:46.938339
90,MAD,9.284892,2026-03-03T20:33:46.938346
91,MDL,17.15372,2026-03-03T20:33:46.938353
92,MGA,4185.990244,2026-03-03T20:33:46.938395
93,MKD,52.73358,2026-03-03T20:33:46.938406
94,MMK,2094.872236,2026-03-03T20:33:46.938413
95,MNT,3597.51047,2026-03-03T20:33:46.938420
96,MOP,8.038902,2026-03-03T20:33:46.938428
97,MRU,40.067977,2026-03-03T20:33:46.938435
98,MUR,46.855539,2026-03-03T20:33:46.938442
99,MVR,15.429044,2026-03-03T20:33:46.938448
100,MWK,1745.536308,2026-03-03T20:33:46.938455
101,MXN,17.654123,2026-03-03T20:33:46.938462
102,MYR,3.942914,2026-03-03T20:33:46.938469
103,MZN,63.555704,2026-03-03T20:33:46.938476
104,NAD,16.482979,2026-03-03T20:33:46.938483
105,NGN,1359.970978,2026-03-03T20:33:46.938490
106,NIO,36.769501,2026-03-03T20:33:46.938497
107,NOK,9.671123,2026-03-03T20:33:46.938504
108,NPR,147.37432,2026-03-03T20:33:46.938511
109,NZD,1.697866,2026-03-03T20:33:46.938518
110,OMR,0.384497,2026-03-03T20:33:46.938525
111,PAB,1.0,2026-03-03T20:33:46.938532
112,PEN,3.392481,2026-03-03T20:33:46.938539
113,PGK,4.309892,2026-03-03T20:33:46.938546
114,PHP,58.496743,2026-03-03T20:33:46.938553
115,PKR,279.490668,2026-03-03T20:33:46.938560
116,PLN,3.694077,2026-03-03T20:33:46.938567
117,PYG,6478.014912,2026-03-03T20:33:46.938573
118,QAR,3.64,2026-03-03T20:33:46.938580
119,RON,4.387202,2026-03-03T20:33:46.938587
120,RSD,100.603544,2026-03-03T20:33:46.938594
121,RUB,77.588531,2026-03-03T20:33:46.938602
122,RWF,1462.74549,2026-03-03T20:33:46.938609
123,SAR,3.75,2026-03-03T20:33:46.938615
124,SBD,7.929004,2026-03-03T20:33:46.938623
125,SCR,14.387057,2026-03-03T20:33:46.938629
126,SDG,449.7348,2026-03-03T20:33:46.938636
127,SEK,9.260543,2026-03-03T20:33:46.938643
128,SGD,1.277508,2026-03-03T20:33:46.938650
129,SHP,0.749706,2026-03-03T20:33:46.938657
130,SLE,24.480065,2026-03-03T20:33:46.938664
131,SLL,24480.064783,2026-03-03T20:33:46.938671
132,SOS,570.898839,2026-03-03T20:33:46.938678
133,SRD,37.788831,2026-03-03T20:33:46.938685
134,SSP,4590.863616,2026-03-03T20:33:46.938692
135,STN,21.092777,2026-03-03T20:33:46.938699
136,SYP,112.147581,2026-03-03T20:33:46.938706
137,SZL,16.482979,2026-03-03T20:33:46.938713
138,THB,31.653168,2026-03-03T20:33:46.938719
139,TJS,9.392701,2026-03-03T20:33:46.938726
140,TMT,3.500027,2026-03-03T20:33:46.938733
141,TND,2.897359,2026-03-03T20:33:46.938740
142,TOP,2.360441,2026-03-03T20:33:46.938747
143,TRY,43.966313,2026-03-03T20:33:46.938754
144,TTD,6.734486,2026-03-03T20:33:46.938761
145,TVD,1.421315,2026-03-03T20:33:46.938768
146,TWD,31.713944,2026-03-03T20:33:46.938775
147,TZS,2533.260756,2026-03-03T20:33:46.938781
148,UAH,43.39076,2026-03-03T20:33:46.938788
149,UGX,3632.442443,2026-03-03T20:33:46.938795
150,UYU,38.444102,2026-03-03T20:33:46.938802
151,UZS,12214.845753,2026-03-03T20:33:46.938809
152,VES,425.6741,2026-03-03T20:33:46.938816
153,VND,26063.763837,2026-03-03T20:33:46.938822
154,VUV,118.626309,2026-03-03T20:33:46.938829
155,WST,2.677416,2026-03-03T20:33:46.938836
156,XAF,564.732847,2026-03-03T20:33:46.938843
157,XCD,2.7,2026-03-03T20:33:46.938850
158,XCG,1.79,2026-03-03T20:33:46.938857
159,XDR,0.733192,2026-03-03T20:33:46.938863
160,XOF,564.732847,2026-03-03T20:33:46.938870
161,XPF,102.73646,2026-03-03T20:33:46.938877
162,YER,238.135434,2026-03-03T20:33:46.938884
163,ZAR,16.482907,2026-03-03T20:33:46.938891
164,ZMW,19.132097,2026-03-03T20:33:46.938898
165,ZWG,25.7665,2026-03-03T20:33:46.938904
166,ZWL,25.7665,2026-03-03T20:33:46.938911
